id,variant_name,type,pattern,scenario,impact,example
1274,Reentrancy Variant 1274,Single-function reentrancy,Fallback invoked before state lock,Variant #1274: Single-function reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
1275,Reentrancy Variant 1275,Cross-function reentrancy,State updated after external call,Variant #1275: Cross-function reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
1276,Reentrancy Variant 1276,Reentrancy via delegatecall,Fallback invoked before state lock,Variant #1276: Reentrancy via delegatecall caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
1277,Reentrancy Variant 1277,Pull-payment reentrancy,Unsafe external call to attacker contract,Variant #1277: Pull-payment reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
1278,Reentrancy Variant 1278,Pull-payment reentrancy,Balance checked after transfer,Variant #1278: Pull-payment reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
1279,Reentrancy Variant 1279,Read-only reentrancy,External call inside loop,Variant #1279: Read-only reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1280,Reentrancy Variant 1280,Reentrancy via delegatecall,Upgradeable proxy storage collision,Variant #1280: Reentrancy via delegatecall caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1281,Reentrancy Variant 1281,Reentrancy via delegatecall,Fallback invoked before state lock,Variant #1281: Reentrancy via delegatecall caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
1282,Reentrancy Variant 1282,State-dependent reentrancy,Recursive callback before mutation,Variant #1282: State-dependent reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
1283,Reentrancy Variant 1283,Cross-contract reentrancy,Upgradeable proxy storage collision,Variant #1283: Cross-contract reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
1284,Reentrancy Variant 1284,Cross-contract reentrancy,State updated after external call,Variant #1284: Cross-contract reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
1285,Reentrancy Variant 1285,Cross-function reentrancy,Upgradeable proxy storage collision,Variant #1285: Cross-function reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
1286,Reentrancy Variant 1286,Single-function reentrancy,Hooks triggered without control flow guard,Variant #1286: Single-function reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
1287,Reentrancy Variant 1287,Pull-payment reentrancy,Missing reentrancy guard,Variant #1287: Pull-payment reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
1288,Reentrancy Variant 1288,Cross-contract reentrancy,Unsafe external call to attacker contract,Variant #1288: Cross-contract reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
1289,Reentrancy Variant 1289,Pull-payment reentrancy,Balance checked after transfer,Variant #1289: Pull-payment reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1290,Reentrancy Variant 1290,Recursive fallback reentrancy,Upgradeable proxy storage collision,Variant #1290: Recursive fallback reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
1291,Reentrancy Variant 1291,Single-function reentrancy,Unsafe external call to attacker contract,Variant #1291: Single-function reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1292,Reentrancy Variant 1292,Cross-contract reentrancy,External call inside loop,Variant #1292: Cross-contract reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
1293,Reentrancy Variant 1293,ERC777-hook reentrancy,Upgradeable proxy storage collision,Variant #1293: ERC777-hook reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
1294,Reentrancy Variant 1294,Read-only reentrancy,Recursive callback before mutation,Variant #1294: Read-only reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
1295,Reentrancy Variant 1295,Recursive fallback reentrancy,Multiple entry points sharing same state variable,Variant #1295: Recursive fallback reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
1296,Reentrancy Variant 1296,Withdraw-before-update reentrancy,Upgradeable proxy storage collision,Variant #1296: Withdraw-before-update reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
1297,Reentrancy Variant 1297,Reentrancy via delegatecall,External call inside loop,Variant #1297: Reentrancy via delegatecall caused by External call inside loop. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
1298,Reentrancy Variant 1298,Single-function reentrancy,Recursive callback before mutation,Variant #1298: Single-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
1299,Reentrancy Variant 1299,Withdraw-before-update reentrancy,Unsafe external call to attacker contract,Variant #1299: Withdraw-before-update reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
1300,Reentrancy Variant 1300,Withdraw-before-update reentrancy,Multiple entry points sharing same state variable,Variant #1300: Withdraw-before-update reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1301,Reentrancy Variant 1301,ERC777-hook reentrancy,Fallback invoked before state lock,Variant #1301: ERC777-hook reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
1302,Reentrancy Variant 1302,Cross-contract reentrancy,Hooks triggered without control flow guard,Variant #1302: Cross-contract reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
1303,Reentrancy Variant 1303,Single-function reentrancy,State updated after external call,Variant #1303: Single-function reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1304,Reentrancy Variant 1304,ERC777-hook reentrancy,Balance checked after transfer,Variant #1304: ERC777-hook reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
1305,Reentrancy Variant 1305,State-dependent reentrancy,Upgradeable proxy storage collision,Variant #1305: State-dependent reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
1306,Reentrancy Variant 1306,Single-function reentrancy,Recursive callback before mutation,Variant #1306: Single-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
1307,Reentrancy Variant 1307,Reentrancy via delegatecall,State updated after external call,Variant #1307: Reentrancy via delegatecall caused by State updated after external call. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
1308,Reentrancy Variant 1308,Recursive fallback reentrancy,Fallback invoked before state lock,Variant #1308: Recursive fallback reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1309,Reentrancy Variant 1309,State-dependent reentrancy,Recursive callback before mutation,Variant #1309: State-dependent reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Bypassing access restrictions,Cross-function: deposit() sets state after external token transfer().
1310,Reentrancy Variant 1310,Withdraw-before-update reentrancy,External call inside loop,Variant #1310: Withdraw-before-update reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
1311,Reentrancy Variant 1311,Cross-function reentrancy,Balance checked after transfer,Variant #1311: Cross-function reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Token supply manipulation,Vault updates shares after sending tokens to attacker contract.
1312,Reentrancy Variant 1312,Pull-payment reentrancy,Hooks triggered without control flow guard,Variant #1312: Pull-payment reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
1313,Reentrancy Variant 1313,Single-function reentrancy,Unsafe external call to attacker contract,Variant #1313: Single-function reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
1314,Reentrancy Variant 1314,Withdraw-before-update reentrancy,Fallback invoked before state lock,Variant #1314: Withdraw-before-update reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1315,Reentrancy Variant 1315,Reentrancy via delegatecall,State updated after external call,Variant #1315: Reentrancy via delegatecall caused by State updated after external call. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
1316,Reentrancy Variant 1316,Read-only reentrancy,Multiple entry points sharing same state variable,Variant #1316: Read-only reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
1317,Reentrancy Variant 1317,Single-function reentrancy,Missing reentrancy guard,Variant #1317: Single-function reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
1318,Reentrancy Variant 1318,Reentrancy via delegatecall,State updated after external call,Variant #1318: Reentrancy via delegatecall caused by State updated after external call. Attacker reenters contract flow before state update.,Bypassing access restrictions,Cross-function: deposit() sets state after external token transfer().
1319,Reentrancy Variant 1319,State-dependent reentrancy,Fallback invoked before state lock,Variant #1319: State-dependent reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
1320,Reentrancy Variant 1320,Pull-payment reentrancy,State updated after external call,Variant #1320: Pull-payment reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
1321,Reentrancy Variant 1321,Reentrancy via delegatecall,Hooks triggered without control flow guard,Variant #1321: Reentrancy via delegatecall caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1322,Reentrancy Variant 1322,Read-only reentrancy,Upgradeable proxy storage collision,Variant #1322: Read-only reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Token supply manipulation,Vault updates shares after sending tokens to attacker contract.
1323,Reentrancy Variant 1323,Reentrancy via delegatecall,Unsafe external call to attacker contract,Variant #1323: Reentrancy via delegatecall caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
1324,Reentrancy Variant 1324,Cross-function reentrancy,Multiple entry points sharing same state variable,Variant #1324: Cross-function reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
1325,Reentrancy Variant 1325,Cross-function reentrancy,Upgradeable proxy storage collision,Variant #1325: Cross-function reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1326,Reentrancy Variant 1326,Cross-function reentrancy,Hooks triggered without control flow guard,Variant #1326: Cross-function reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
1327,Reentrancy Variant 1327,Cross-contract reentrancy,Missing reentrancy guard,Variant #1327: Cross-contract reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1328,Reentrancy Variant 1328,State-dependent reentrancy,Unsafe external call to attacker contract,Variant #1328: State-dependent reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
1329,Reentrancy Variant 1329,Recursive fallback reentrancy,Recursive callback before mutation,Variant #1329: Recursive fallback reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1330,Reentrancy Variant 1330,Pull-payment reentrancy,Upgradeable proxy storage collision,Variant #1330: Pull-payment reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
1331,Reentrancy Variant 1331,Withdraw-before-update reentrancy,Fallback invoked before state lock,Variant #1331: Withdraw-before-update reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
1332,Reentrancy Variant 1332,Cross-contract reentrancy,Recursive callback before mutation,Variant #1332: Cross-contract reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
1333,Reentrancy Variant 1333,Single-function reentrancy,Upgradeable proxy storage collision,Variant #1333: Single-function reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
1334,Reentrancy Variant 1334,Single-function reentrancy,Multiple entry points sharing same state variable,Variant #1334: Single-function reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
1335,Reentrancy Variant 1335,State-dependent reentrancy,Fallback invoked before state lock,Variant #1335: State-dependent reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1336,Reentrancy Variant 1336,Read-only reentrancy,External call inside loop,Variant #1336: Read-only reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
1337,Reentrancy Variant 1337,State-dependent reentrancy,Unsafe external call to attacker contract,Variant #1337: State-dependent reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1338,Reentrancy Variant 1338,Recursive fallback reentrancy,External call inside loop,Variant #1338: Recursive fallback reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Token supply manipulation,Vault updates shares after sending tokens to attacker contract.
1339,Reentrancy Variant 1339,Single-function reentrancy,Unsafe external call to attacker contract,Variant #1339: Single-function reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
1340,Reentrancy Variant 1340,Reentrancy via delegatecall,Recursive callback before mutation,Variant #1340: Reentrancy via delegatecall caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1341,Reentrancy Variant 1341,State-dependent reentrancy,External call inside loop,Variant #1341: State-dependent reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1342,Reentrancy Variant 1342,Reentrancy via delegatecall,External call inside loop,Variant #1342: Reentrancy via delegatecall caused by External call inside loop. Attacker reenters contract flow before state update.,Complete balance drain,Vault updates shares after sending tokens to attacker contract.
1343,Reentrancy Variant 1343,Cross-contract reentrancy,Recursive callback before mutation,Variant #1343: Cross-contract reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
1344,Reentrancy Variant 1344,ERC777-hook reentrancy,Missing reentrancy guard,Variant #1344: ERC777-hook reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
1345,Reentrancy Variant 1345,State-dependent reentrancy,Upgradeable proxy storage collision,Variant #1345: State-dependent reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
1346,Reentrancy Variant 1346,Reentrancy via delegatecall,Multiple entry points sharing same state variable,Variant #1346: Reentrancy via delegatecall caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
1347,Reentrancy Variant 1347,Single-function reentrancy,Recursive callback before mutation,Variant #1347: Single-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1348,Reentrancy Variant 1348,Recursive fallback reentrancy,Fallback invoked before state lock,Variant #1348: Recursive fallback reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
1349,Reentrancy Variant 1349,Pull-payment reentrancy,Upgradeable proxy storage collision,Variant #1349: Pull-payment reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1350,Reentrancy Variant 1350,Cross-contract reentrancy,Balance checked after transfer,Variant #1350: Cross-contract reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
1351,Reentrancy Variant 1351,Single-function reentrancy,Recursive callback before mutation,Variant #1351: Single-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
1352,Reentrancy Variant 1352,ERC777-hook reentrancy,External call inside loop,Variant #1352: ERC777-hook reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
1353,Reentrancy Variant 1353,Cross-contract reentrancy,Unsafe external call to attacker contract,Variant #1353: Cross-contract reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
1354,Reentrancy Variant 1354,ERC777-hook reentrancy,Multiple entry points sharing same state variable,Variant #1354: ERC777-hook reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1355,Reentrancy Variant 1355,Recursive fallback reentrancy,Hooks triggered without control flow guard,Variant #1355: Recursive fallback reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1356,Reentrancy Variant 1356,Reentrancy via delegatecall,Hooks triggered without control flow guard,Variant #1356: Reentrancy via delegatecall caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
1357,Reentrancy Variant 1357,Cross-contract reentrancy,Unsafe external call to attacker contract,Variant #1357: Cross-contract reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
1358,Reentrancy Variant 1358,Cross-function reentrancy,Balance checked after transfer,Variant #1358: Cross-function reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1359,Reentrancy Variant 1359,ERC777-hook reentrancy,Hooks triggered without control flow guard,Variant #1359: ERC777-hook reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
1360,Reentrancy Variant 1360,Cross-function reentrancy,Multiple entry points sharing same state variable,Variant #1360: Cross-function reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1361,Reentrancy Variant 1361,State-dependent reentrancy,Upgradeable proxy storage collision,Variant #1361: State-dependent reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
1362,Reentrancy Variant 1362,State-dependent reentrancy,Fallback invoked before state lock,Variant #1362: State-dependent reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Bypassing access restrictions,Cross-function: deposit() sets state after external token transfer().
1363,Reentrancy Variant 1363,Cross-function reentrancy,State updated after external call,Variant #1363: Cross-function reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
1364,Reentrancy Variant 1364,ERC777-hook reentrancy,Upgradeable proxy storage collision,Variant #1364: ERC777-hook reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
1365,Reentrancy Variant 1365,ERC777-hook reentrancy,Multiple entry points sharing same state variable,Variant #1365: ERC777-hook reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
1366,Reentrancy Variant 1366,Withdraw-before-update reentrancy,Hooks triggered without control flow guard,Variant #1366: Withdraw-before-update reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
1367,Reentrancy Variant 1367,Read-only reentrancy,Hooks triggered without control flow guard,Variant #1367: Read-only reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
1368,Reentrancy Variant 1368,Recursive fallback reentrancy,Fallback invoked before state lock,Variant #1368: Recursive fallback reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
1369,Reentrancy Variant 1369,Cross-contract reentrancy,Fallback invoked before state lock,Variant #1369: Cross-contract reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
1370,Reentrancy Variant 1370,Reentrancy via delegatecall,Balance checked after transfer,Variant #1370: Reentrancy via delegatecall caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
1371,Reentrancy Variant 1371,ERC777-hook reentrancy,Missing reentrancy guard,Variant #1371: ERC777-hook reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
1372,Reentrancy Variant 1372,Single-function reentrancy,State updated after external call,Variant #1372: Single-function reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
1373,Reentrancy Variant 1373,Read-only reentrancy,Fallback invoked before state lock,Variant #1373: Read-only reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1374,Reentrancy Variant 1374,Single-function reentrancy,Balance checked after transfer,Variant #1374: Single-function reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1375,Reentrancy Variant 1375,Read-only reentrancy,Unsafe external call to attacker contract,Variant #1375: Read-only reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
1376,Reentrancy Variant 1376,Recursive fallback reentrancy,Unsafe external call to attacker contract,Variant #1376: Recursive fallback reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1377,Reentrancy Variant 1377,Withdraw-before-update reentrancy,Missing reentrancy guard,Variant #1377: Withdraw-before-update reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
1378,Reentrancy Variant 1378,Reentrancy via delegatecall,State updated after external call,Variant #1378: Reentrancy via delegatecall caused by State updated after external call. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1379,Reentrancy Variant 1379,Cross-function reentrancy,State updated after external call,Variant #1379: Cross-function reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1380,Reentrancy Variant 1380,Cross-function reentrancy,Upgradeable proxy storage collision,Variant #1380: Cross-function reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1381,Reentrancy Variant 1381,Recursive fallback reentrancy,Multiple entry points sharing same state variable,Variant #1381: Recursive fallback reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
1382,Reentrancy Variant 1382,Reentrancy via delegatecall,Upgradeable proxy storage collision,Variant #1382: Reentrancy via delegatecall caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
1383,Reentrancy Variant 1383,Reentrancy via delegatecall,Hooks triggered without control flow guard,Variant #1383: Reentrancy via delegatecall caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
1384,Reentrancy Variant 1384,Cross-function reentrancy,Balance checked after transfer,Variant #1384: Cross-function reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1385,Reentrancy Variant 1385,State-dependent reentrancy,Hooks triggered without control flow guard,Variant #1385: State-dependent reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Token supply manipulation,Vault updates shares after sending tokens to attacker contract.
